,f(x),p(x),f(x)-p(x)
0,0.14285714285714285,0.14285714285714818,-5.329070518200751e-15
1,0.1558846453624318,-0.17832013255646909,0.3342047779189009
2,0.1706484641638225,0.17064846416382706,-4.551914400963142e-15
3,0.18744142455482665,0.21509981222146907,-0.027658387666642414
4,0.20661157024793386,0.20661157024793816,-4.3021142204224816e-15
5,0.22857142857142856,0.22454987513417837,0.0040215534372501915
6,0.2538071065989848,0.2538071065989891,-4.274358644806853e-15
7,0.28288543140028294,0.28374814088352734,-0.000862709483244406
8,0.3164556962025316,0.31645569620253594,-4.3298697960381105e-15
9,0.35523978685612784,0.3549897790936031,0.0002500077625247621
10,0.4,0.40000000000000446,-4.440892098500626e-15
11,0.4514672686230249,0.4515595128036696,-9.224418064474049e-05
12,0.5102040816326532,0.5102040816326577,-4.551914400963142e-15
13,0.5763688760806917,0.5763278165374389,4.1059543252730535e-05
14,0.6493506493506496,0.6493506493506538,-4.218847493575595e-15
15,0.7272727272727273,0.7272932866688494,-2.0559396122110662e-05
16,0.806451612903226,0.8064516129032295,-3.552713678800501e-15
17,0.8810572687224671,0.881047106765446,1.0161957021193047e-05
18,0.9433962264150942,0.9433962264150966,-2.3314683517128287e-15
19,0.9852216748768474,0.985224803920944,-3.1290440966058597e-06
20,1.0,1.0000000000000002,-2.220446049250313e-16
21,0.9852216748768472,0.9852248039209417,-3.129044094496436e-06
22,0.9433962264150942,0.9433962264150925,1.7763568394002505e-15
23,0.8810572687224668,0.8810471067654401,1.0161957026744162e-05
24,0.8064516129032255,0.8064516129032224,3.1086244689504383e-15
25,0.7272727272727273,0.7272932866688424,-2.0559396115116257e-05
26,0.6493506493506493,0.6493506493506453,3.9968028886505635e-15
27,0.5763688760806915,0.5763278165374308,4.105954326072414e-05
28,0.5102040816326529,0.5102040816326486,4.218847493575595e-15
29,0.45146726862302466,0.45155951280366075,-9.224418063608075e-05
30,0.4,0.3999999999999957,4.3298697960381105e-15
31,0.35523978685612784,0.35498977909359525,0.00025000776253258916
32,0.3164556962025316,0.31645569620252734,4.274358644806853e-15
33,0.2828854314002828,0.28374814088351985,-0.000862709483237023
34,0.25380710659898464,0.2538071065989804,4.218847493575595e-15
35,0.22857142857142856,0.22454987513417918,0.004021553437249387
36,0.20661157024793386,0.20661157024792962,4.246603069191224e-15
37,0.1874414245548266,0.21509981222152896,-0.027658387666702366
38,0.17064846416382248,0.17064846416381801,4.468647674116255e-15
39,0.15588464536243177,-0.17832013255535875,0.3342047779177905
40,0.14285714285714285,0.1428571428571376,5.245803791353865e-15
